order	playlist_index	video_id	source_slug	imported	diarization	duration	title
103	38	B5FtHagng8c	predictive-history-b5fthagng8c	no	yes	1:10:29	Secret History #25:  Capital of Evil
104	37	kULUM_eB8KI	predictive-history-kulum-eb8ki	no	yes	1:25:00	Secret History #26:  Faith of Evil
105	36	ZPrecJHUOUs	predictive-history-zprecjhuous	no	yes	1:27:42	Secret History #27:  Empire of Evil
106	35	WFWizN3QoPg	predictive-history-wfwizn3qopg	no	yes	1:39:18	Secret History #END:  Pax Judaica
107	34	hE4l9WyLF3U	predictive-history-he4l9wylf3u	no	yes	49:33	Game Theory #1:  The Dating Game
108	33	TsD-8FGA84A	predictive-history-tsd-8fga84a	yes	yes	45:19	Great Books #1:  Secrets of the Universe
109	32	kS-muAuq62E	predictive-history-ks-muauq62e	no	yes	49:06	Game Theory #2:  Why Schools Suck
110	31	MX93U4KzA28	predictive-history-mx93u4kza28	no	yes	53:33	Game Theory #3:  Rich Dad, Poor Dad
111	30	Ft2CuowGuYc	predictive-history-ft2cuowguyc	yes	yes	36:57	Great Books #2:  Homer and the Invention of the Human
112	29	35HRPLVyF0g	predictive-history-35hrplvyf0g	no	yes	46:18	Game Theory #4:  The Immigration Trap
113	28	ybufqRY77PQ	predictive-history-ybufqry77pq	no	yes	57:16	Game Theory #5:  The World Game
114	27	XRP407WsA0w	predictive-history-xrp407wsa0w	yes	yes	43:45	Great Books #3:  Poets and Prophets
115	26	CbamEcNuDXo	predictive-history-cbamecnudxo	no	yes	45:01	Game Theory #6:  The World's Bank
116	25	ijnkCt1QK6k	predictive-history-ijnkct1qk6k	no	yes	48:32	Game Theory #7:  America's Game
117	24	dkzr5A8IlLA	predictive-history-dkzr5a8illa	no	yes	55:20	Great Books #4:  The Conscious Universe
118	23	axqDLhWs93Q	predictive-history-axqdlhws93q	no	yes	55:25	Game Theory #8:  Communist Specter
119	22	jIS2eB-rGv0	predictive-history-jis2eb-rgv0	no	yes	45:25	Game Theory #9:  The US-Iran War
120	21	gXlcR7uHHdA	predictive-history-gxlcr7uhhda	no	yes	40:27	Great Books #5:  The Odyssey
121	20	t5oisJiorsU	predictive-history-t5oisjiorsu	no	yes	53:36	Game Theory #10:  The Law of Asymmetry
122	19	fz-Dan7NRss	predictive-history-fz-dan7nrss	no	yes	1:01:29	Game Theory #11:  The Law of Escalation
123	18	aS-NfPSPMu8	predictive-history-as-nfpspmu8	no	yes	32:56	Great Books #6:  The Intimacy of Love
124	17	spg58Glfz68	predictive-history-spg58glfz68	no	yes	1:06:20	Game Theory #12:  The Law of Eschatological Convergence
125	16	aQSDSqdlFxk	predictive-history-aqsdsqdlfxk	no	yes	50:00	Game Theory #13:  Epstein's World
126	15	EBWTRvjZ1dw	predictive-history-ebwtrvjz1dw	no	yes	30:50	Great Books #7:  The Anti-Homer
127	14	nOQqGy4boBY	predictive-history-noqqgy4boby	no	yes	50:25	Game Theory #14:  The Law of Proximity
128	13	zAer-Mqe7tQ	predictive-history-zaer-mqe7tq	no	yes	49:42	Game Theory #15:  The Return of History
129	12	YXTRlvFIRt8	predictive-history-yxtrlvfirt8	no	yes	53:28	Great Books #8:  The Poetry of Empire
130	11	0aASxQrJYuo	predictive-history-0aasxqrjyuo	no	no	1:06:39	Game Theory #16:  Pax Judaica Rising
